date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:24	39239/39239	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:25:46%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/blog/1.jpg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/blog/1.jpg	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:25	5916/5916	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202020%2012:52:44%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/brands/1.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/brands/1.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:26	9320/9320	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202020%2012:53:04%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/brands/2.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/brands/2.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:26	6118/6118	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202020%2012:53:45%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/brands/3.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/brands/3.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:27	95602/95602	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:21:58%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/banner.jpeg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/banner.jpg	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:28	7173/7173	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202020%2012:54:56%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/brands/5.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/brands/5.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:28	53475/53475	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:25:51%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/blog/3.jpg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/blog/3.jpg	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:28	17721/17721	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202020%2012:54:22%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/brands/4.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/brands/4.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:29	8111/8111	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/jquery.easing.1.3.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/jquery.easing.1.3.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:29	15413/15413	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/modernizr-2.6.2.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/modernizr-2.6.2.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
